iter	Passed	Remaining
718	1990	778
719	1991	774
720	1993	771
721	1994	767
722	1995	764
723	1999	762
724	2000	758
725	2001	755
726	2002	752
727	2004	748
728	2005	745
729	2006	742
730	2007	738
731	2009	735
732	2010	732
733	2013	729
734	2015	726
735	2016	723
736	2017	720
737	2019	716
738	2020	713
739	2021	710
740	2022	707
741	2024	703
742	2025	700
743	2026	697
744	2029	694
745	2030	691
746	2031	688
747	2032	684
748	2034	681
749	2035	678
750	2036	675
751	2037	672
752	2039	668
753	2040	665
754	2041	662
755	2043	659
756	2044	656
757	2045	652
758	2046	649
759	2047	646
760	2049	643
761	2050	640
762	2051	637
763	2053	634
764	2054	631
765	2057	628
766	2058	625
767	2059	622
768	2061	619
769	2062	616
770	2064	613
771	2065	610
772	2067	607
773	2068	604
774	2070	601
775	2073	598
776	2074	595
777	2076	592
778	2079	590
779	2081	587
780	2083	584
781	2086	581
782	2088	578
783	2089	575
784	2091	572
785	2092	569
786	2094	566
787	2095	563
788	2097	560
789	2098	557
790	2100	554
791	2102	552
792	2104	549
793	2106	546
794	2108	543
795	2110	540
796	2115	538
797	2117	535
798	2118	533
799	2120	530
800	2121	527
801	2122	524
802	2124	521
803	2125	518
804	2127	515
805	2128	512
806	2129	509
807	2131	506
808	2132	503
809	2134	500
810	2135	497
811	2137	494
812	2138	491
813	2139	488
814	2141	486
815	2142	483
816	2144	480
817	2158	480
818	2160	477
819	2162	474
820	2164	471
821	2165	468
822	2167	466
823	2168	463
824	2170	460
825	2171	457
826	2172	454
827	2174	451
828	2175	448
829	2177	446
830	2179	443
831	2180	440
832	2181	437
833	2183	434
834	2184	431
835	2186	428
836	2188	426
837	2189	423
838	2191	420
839	2192	417
840	2201	416
841	2203	413
842	2204	410
843	2206	407
844	2207	404
845	2208	402
846	2210	399
847	2211	396
848	2212	393
849	2213	390
850	2214	387
851	2216	384
852	2217	382
853	2218	379
854	2219	376
855	2220	373
856	2221	370
857	2223	367
858	2224	365
859	2225	362
860	2226	359
861	2227	356
862	2228	353
863	2229	350
864	2230	348
865	2232	345
866	2233	342
867	2234	339
868	2235	337
869	2237	334
870	2238	331
871	2239	328
872	2240	325
873	2242	323
874	2243	320
875	2244	317
876	2245	314
877	2246	312
878	2247	309
879	2249	306
880	2250	303
881	2251	301
882	2252	298
883	2253	295
884	2255	293
885	2256	290
886	2257	287
887	2258	284
888	2260	282
889	2261	279
890	2262	276
891	2263	274
892	2264	271
893	2266	268
894	2267	265
895	2268	263
896	2269	260
897	2270	257
898	2272	255
899	2273	252
900	2275	249
901	2276	247
902	2277	244
903	2278	241
904	2281	239
905	2283	236
906	2287	234
907	2288	231
908	2290	229
909	2292	226
